deal_id,account_id,owner,created_date,stage_date_discovery,stage_date_evaluation,stage_date_proposal,stage_date_negotiation,stage_date_closed_won,stage_date_closed_lost
c1cc40dc-de3a-4692-a1ea-cd44a7eaf159,b6d295b5-4ea9-46a6-9447-89217536992d,Henry,2025-03-17 15:19:13+00:00,2025-03-19 15:19:13+00:00,2025-03-24 15:19:13+00:00,2025-03-28 15:19:13+00:00,2025-04-12 15:19:13+00:00,2025-04-14 15:19:13+00:00,
5eb242e2-b1df-4e84-92b5-62979ed84d57,81c0b0dd-7cf7-4b7c-9611-6d179763b5b0,Luke,2025-09-01 03:02:13+00:00,2025-09-02 03:02:13+00:00,,,,,2025-09-03 03:02:13+00:00
189378bd-de94-44b9-875f-0baacd30de0a,f7f05bbc-665d-4c19-853a-b41fcb6294b2,Taylor,2025-05-23 03:52:54+00:00,2025-05-30 03:52:54+00:00,2025-06-01 03:52:54+00:00,2025-06-07 03:52:54+00:00,2025-06-14 03:52:54+00:00,,2025-06-20 03:52:54+00:00
775d93d3-1d6d-4d1f-98f3-4aa1a236f2f7,b2fa4441-f4cb-410d-a25a-391422f449ce,Quinn,2025-03-10 19:32:50+00:00,2025-03-11 19:32:50+00:00,2025-03-23 19:32:50+00:00,2025-03-30 19:32:50+00:00,2025-04-05 19:32:50+00:00,,2025-04-07 19:32:50+00:00
c9786a74-5c7d-4fca-8511-dcf7a9217d0f,5434c5b2-fa55-4753-8c5c-0d5f0eec47ad,Henry,2024-10-30 15:12:02+00:00,2024-10-31 15:12:02+00:00,2024-11-07 15:12:02+00:00,2024-11-13 15:12:02+00:00,2024-11-21 15:12:02+00:00,,2024-11-23 15:12:02+00:00
017a477c-ff33-4f24-b992-0780c590845c,e496b5b7-9181-45a1-8c5c-9b6415325dcb,Taylor,2025-07-18 16:02:26+00:00,2025-07-21 16:02:26+00:00,,,,,2025-07-22 16:02:26+00:00
fbda7b78-c805-4e52-94d8-a450718e5448,b5f4e9b4-bdf5-4a66-a4fa-72bdc5848375,Marissa,2025-03-12 03:04:28+00:00,2025-03-16 03:04:28+00:00,2025-03-21 03:04:28+00:00,,,,2025-03-22 03:04:28+00:00
73123d46-fa9a-42bf-afe9-435a680426be,6053dc7a-9073-48f0-839b-5ee39e2c88ea,Maria,2024-11-11 10:45:13+00:00,2024-11-12 10:45:13+00:00,2024-11-13 10:45:13+00:00,2024-11-17 10:45:13+00:00,2024-11-21 10:45:13+00:00,2024-11-22 10:45:13+00:00,
b52b5e33-2d58-4033-8693-dd2352c31ccf,cf70ecc3-bd25-43d7-bc31-bac3e0c0e7a5,Katherine,2025-08-19 08:13:09+00:00,2025-09-02 08:13:09+00:00,2025-09-12 08:13:09+00:00,2025-09-13 08:13:09+00:00,2025-09-17 08:13:09+00:00,,2025-09-18 08:13:09+00:00
28976515-22b6-4363-863c-1bd553557824,992e92a2-944f-457a-ab50-99db701de13c,Quinn,2025-02-11 09:39:59+00:00,2025-02-12 09:39:59+00:00,2025-02-17 09:39:59+00:00,2025-02-20 09:39:59+00:00,2025-02-24 09:39:59+00:00,2025-03-02 09:39:59+00:00,
c0237d36-a0a0-446f-ac84-adb133eaeca0,905ed5d0-1414-4fde-8ae4-342e845ed953,Jack,2025-02-26 23:12:53+00:00,2025-03-03 23:12:53+00:00,2025-03-07 23:12:53+00:00,2025-03-11 23:12:53+00:00,2025-03-16 23:12:53+00:00,,2025-03-19 23:12:53+00:00
d134c983-fc46-4fbb-a214-cdb38056cadd,ee37d426-bc4a-458a-aa95-c774cfed5d9b,Taylor,2025-07-15 10:01:58+00:00,2025-07-22 10:01:58+00:00,2025-07-24 10:01:58+00:00,2025-08-09 10:01:58+00:00,2025-08-25 10:01:58+00:00,2025-08-29 10:01:58+00:00,
397f203d-8835-4cca-8811-aa8af503af84,ba1a4976-6bfd-4b1c-a802-18feda1abcc5,Quinn,2024-12-26 17:46:21+00:00,2024-12-28 17:46:21+00:00,2025-01-02 17:46:21+00:00,2025-01-09 17:46:21+00:00,2025-01-13 17:46:21+00:00,,2025-01-23 17:46:21+00:00
1dc23965-84d9-4390-a39b-2eabba6d9613,d9f16066-2f39-4494-99c3-840e1482a5ef,Henry,2025-08-27 08:01:05+00:00,2025-08-28 08:01:05+00:00,,,,,2025-09-01 08:01:05+00:00
72f912a7-0f13-41e9-b17b-1c8dbf2d5f5d,6d1c3eb0-10a5-48a5-b9dd-3ecd9c34da0f,Noah,2025-02-27 05:31:33+00:00,2025-03-03 05:31:33+00:00,2025-03-05 05:31:33+00:00,2025-03-12 05:31:33+00:00,2025-03-13 05:31:33+00:00,2025-03-17 05:31:33+00:00,
2065e4aa-6f51-46b0-a64d-996d9f52a731,df31ae85-dccb-41d7-b59b-f8de8257c4b0,William,2025-06-20 07:57:30+00:00,2025-06-22 07:57:30+00:00,2025-07-01 07:57:30+00:00,2025-07-03 07:57:30+00:00,2025-07-07 07:57:30+00:00,,2025-07-08 07:57:30+00:00
b97de40d-04b4-4ef1-8d70-1ab48ec6f8a5,cf3fe304-fe1c-4e86-bad6-8d6c5eec4050,Katherine,2025-06-17 14:28:54+00:00,2025-06-22 14:28:54+00:00,2025-06-23 14:28:54+00:00,,,,2025-06-26 14:28:54+00:00
e8d3c467-c56d-42ea-81fe-c12ebd9adadf,c35393d0-a8ef-4776-92b0-9182400e71c7,Olivia,2025-01-21 10:59:25+00:00,2025-01-25 10:59:25+00:00,2025-01-31 10:59:25+00:00,2025-02-04 10:59:25+00:00,2025-02-11 10:59:25+00:00,,2025-02-16 10:59:25+00:00
fb00e57c-a1ec-4a2c-9e6f-834bd94352f7,f908336c-be70-4305-bcf4-c8e45aea1e90,Maria,2025-02-15 13:11:19+00:00,2025-02-18 13:11:19+00:00,2025-02-22 13:11:19+00:00,2025-02-26 13:11:19+00:00,2025-03-06 13:11:19+00:00,,2025-03-18 13:11:19+00:00
500e5949-b439-4803-9619-80dea5a7d31f,9227ec47-65a2-4443-a126-b1e00248c362,William,2025-01-20 14:24:37+00:00,2025-01-24 14:24:37+00:00,2025-01-25 14:24:37+00:00,2025-01-27 14:24:37+00:00,,,2025-02-05 14:24:37+00:00
394a7c65-d695-427e-bfac-af82f39d25ee,ff53ed4b-dd4f-4d25-851c-5f65769b13f2,Rachel,2025-02-24 22:02:22+00:00,2025-02-28 22:02:22+00:00,2025-03-02 22:02:22+00:00,,,,2025-03-06 22:02:22+00:00
b8d2a723-008f-47d8-8c42-3a3ba4888e05,f5340ea2-531b-4804-875e-70c00fc634fb,Zachary,2025-07-04 15:03:37+00:00,2025-07-08 15:03:37+00:00,,,,,2025-07-12 15:03:37+00:00
8bfca1fa-cfbe-42aa-9a1f-7e7f60d4854a,6fe28a2d-b3b6-4506-a236-9025f4951f2c,Rachel,2024-11-15 23:13:18+00:00,2024-11-16 23:13:18+00:00,2024-11-20 23:13:18+00:00,2024-11-21 23:13:18+00:00,2024-12-01 23:13:18+00:00,,2024-12-05 23:13:18+00:00
4faf54c8-a208-4ecb-ad99-4c8a73bfe236,bb1f1a89-1c02-4caa-8c77-15ec6e02b0b3,Noah,2025-02-18 12:14:56+00:00,2025-02-21 12:14:56+00:00,2025-02-26 12:14:56+00:00,2025-03-08 12:14:56+00:00,2025-03-14 12:14:56+00:00,,2025-03-21 12:14:56+00:00
d48c995f-355a-4cba-ae0b-5090eb1e4499,036ca213-2a44-4a84-8671-c10643199763,William,2024-11-02 06:59:39+00:00,2024-11-04 06:59:39+00:00,2024-11-13 06:59:39+00:00,2024-11-19 06:59:39+00:00,2024-11-22 06:59:39+00:00,,2024-11-29 06:59:39+00:00
660af7a0-e3b4-4b81-bb55-2df942bcef03,9e28efe0-bde9-4f9e-8c0c-16a1d5c06bb5,Isabella,2025-05-21 21:04:25+00:00,2025-05-24 21:04:25+00:00,,,,,2025-05-28 21:04:25+00:00
6f8a9896-2ee6-489f-9bc5-d28a079a9585,7e3cbefd-5341-4168-a91c-11669b44f6b0,Taylor,2024-12-09 14:16:48+00:00,2024-12-11 14:16:48+00:00,2024-12-17 14:16:48+00:00,2024-12-26 14:16:48+00:00,2025-01-03 14:16:48+00:00,,2025-01-29 14:16:48+00:00
2f518193-1f8a-482f-87a1-81347e23aaed,ec7b1894-9761-442a-adfd-b9c84d67d991,Rachel,2025-04-05 11:28:16+00:00,2025-04-06 11:28:16+00:00,2025-04-13 11:28:16+00:00,2025-04-20 11:28:16+00:00,2025-04-26 11:28:16+00:00,2025-04-29 11:28:16+00:00,
e709e90e-f3b5-4048-8d02-eb3c2f111045,91094725-e141-457c-b2e4-2293df62e77b,Maria,2024-12-25 16:50:06+00:00,2024-12-26 16:50:06+00:00,2024-12-31 16:50:06+00:00,2025-01-02 16:50:06+00:00,2025-01-07 16:50:06+00:00,2025-01-10 16:50:06+00:00,
